,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170123,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.8819621988,1.3795853798,0.6864085362,0.3735687671,0.7806671102,-0.9956635337,0.1022767537,-0.4424519473,0.1388995117,-0.1648214768,0.1049487691,-0.5144827255,-0.9981464303,-0.1921541126,-0.8291376318,0.1398793487,0.071232558,-0.5469691158,0.0878172493,-0.7278435878,-0.5828621809,-0.3087981427,-0.9261498527,-0.3310574502,-0.0848338617,-0.8633954051,-1.8280424847,-2.1175183894,-2.4077471065
20170124,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.0224234454,1.6136099149,1.3787542659,0.6897905007,0.7409709252,-0.8586661683,0.2724419033,-0.2747697936,0.1399898448,-0.1452457227,-0.1301082446,-0.5082000034,-0.9981464303,0.012233666,-1.3406668819,0.1474652831,0.0773019875,-0.5475296461,-0.0409846232,-0.6784767642,-0.679741467,0.2430782097,-0.7365137683,-0.2770285867,-0.3685610519,-0.9610681377,-1.9670729226,-2.2267368176,-2.7403424322
20170125,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.111161041,1.2823331774,1.5018128722,0.6358792086,0.7505869214,-1.3599032384,0.4671301231,0.0446681818,0.1420891742,-0.0470316814,-0.3045168153,-0.5157658053,-0.9981464303,-0.0511541954,-1.8035185169,0.1872226867,0.0774183584,-0.5490026835,0.1754223081,-0.4293569612,-0.5961371433,0.2826005448,-0.4168199432,-0.1227276895,-0.193826556,-0.8098349613,-2.2470248342,-2.7293781964,-2.9482486723
20170126,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.6680495651,1.3710151186,1.6270492115,1.0265697634,0.6001441186,-1.6925296816,0.6093232995,0.3751873915,0.159900513,0.2086583623,-0.5313281627,-0.4965649894,-0.9981464303,-0.1746230942,-2.0551388241,-0.2142447051,0.1238914836,-0.5313586681,-0.2534574313,-0.9820341007,-1.0632905119,0.1537031718,-0.9029665887,-0.6637935215,-0.9482172041,-1.5867448471,-2.6459947085,-2.9266671393,-3.7175059859
20170127,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.3575980559,1.4735651766,1.2911463576,0.7627328941,0.7030731422,-1.2557207813,0.2662555402,0.1702340594,0.1454324138,0.1520647336,-0.6307705678,-0.4888578243,-0.9981464303,-0.1002900804,-1.5874638801,-0.16479327,0.0831734831,-0.5420395628,0.2255089628,-0.8570305844,-0.9137197912,0.131136623,-0.7255018685,-0.5142482349,-0.3496731858,-1.0126627097,-2.1407029525,-2.6232203892,-3.3018402454
20170202,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.9057973508,0.8616370646,1.7871847218,0.4476466396,0.6956673191,-0.8012469299,0.2089156685,0.3598585793,0.147578526,-0.1600745167,-0.6275503754,-0.4655197772,-0.9981464303,0.0023671155,-2.4043929392,0.0061576817,0.0820568681,-0.5324563119,-0.580912604,-1.6655005482,-1.1329202068,-0.0251917462,-0.4265882056,-0.3045474497,-0.2360084862,-0.636993717,-1.8845496877,-2.2525560607,-2.7696773504
20170203,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.2024902652,1.0471192409,1.5830015052,0.5838660889,0.6782481877,-1.4631204486,0.3244107179,0.4857096571,0.1514953112,0.0563486154,-0.4909163068,-0.4518223114,-0.9981464303,0.0019349871,-2.2230094005,-0.1441943404,0.0859879653,-0.5357695763,-0.6169986227,-1.2728753559,-1.0981529422,0.2526464054,-0.1676418811,-0.0627519009,-0.1010288673,-0.9081892623,-2.2616852759,-2.8856014653,-3.1934738777
20170204,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.6643334185,1.1558444289,0.4740202818,0.6619379808,0.665447705,-1.8910361621,0.6428207542,0.1808413275,0.1440629755,0.0613435773,-0.7549646721,-0.4965520766,-0.9981464303,-0.0985521053,-2.1145467483,-0.3318390543,0.0912868096,-0.5333375046,-0.4709763303,-1.3173844464,-1.298226515,-0.0827358698,-0.1924062992,-0.3514064279,-0.6297029474,-1.561908259,-2.6826824036,-2.9087258455,-3.1717336277
20170205,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.9928748727,1.4304250799,0.5393845608,0.9828571375,0.5492461117,-2.2732317872,0.8891519531,0.074896767,0.1589237877,0.2241832492,-0.7597641253,-0.4748102461,-0.9981464303,-0.3396040706,-2.1349264835,-0.5904913684,0.1409797973,-0.5307786446,-0.6198813127,-1.4897284032,-1.1245462871,0.1525523715,-0.0330787028,-0.2013728315,-0.6058585465,-1.1988011931,-2.7834760898,-3.4290453951,-3.6732587106
20170206,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.4097822753,0.8543883188,1.3727212995,0.4794920585,0.6325542575,-2.0462870242,0.6087451576,0.2740877498,0.150196918,0.0530152182,-0.7388349765,-0.4703442061,-0.9981464303,-0.4468735256,-2.1362904146,-0.5398219828,0.0977557291,-0.5048035587,-0.6706485355,-1.5932527827,-1.8290669194,-0.0824845529,-0.2132391985,-0.0036685794,-0.1944285423,-0.9290002366,-2.7152638128,-3.4597913333,-3.4149351577
20170212,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.4071994326,0.6027531795,0.6536922779,-0.1446356375,0.7688322943,0.3438637847,-0.1149145991,0.0667640527,0.1359243074,-0.4867255285,-0.6555514204,-0.5072055532,-0.9981464303,0.3592511353,-1.2765132502,0.7089021714,0.068718052,-0.5541023564,-0.3973920809,-1.0319611509,-0.1538970809,0.1419239442,-0.09817292,0.0272534988,0.3007978223,0.3738048259,-0.9805031191,-0.9644059556,-0.7646438001
20170215,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.4829339367,0.0890257194,0.4052446544,1.7764825157,0.5827325399,0.6008740058,0.4477333344,-0.1901495506,0.1892932509,0.7696112328,0.3882426054,-0.3790691977,-0.9981464303,0.1961313377,-0.8085089098,-0.3205662317,0.1225049667,-0.5254109485,0.3178744155,-0.0466524372,0.1129508325,0.6188857016,-0.2450739712,-0.3257946125,0.1590569189,0.6704544551,-0.4427171846,-0.6400135859,-0.8468742916
20160225,Bolívar,5069,Alta,Media,"75º08'22.3""W",-3.6327499339,-1.3168429579,-2.7523177892,-0.540248143,0.7640215608,-0.4868850467,-0.1032138085,-0.3479454634,0.5533775334,-0.2033639591,-0.7240064373,-0.5158039567,-0.9981464303,-1.2072766967,1.616881278,-0.1110856857,0.4530453816,-0.5365767805,-0.0172402306,-0.3890270784,0.2422164119,-0.2226092885,0.3448387608,0.7974024391,0.1903658296,-0.01238466,-0.3062733766,-0.2015093797,0.0492606577
20160226,Bolívar,5069,Alta,Media,"75º08'22.3""W",-2.4968845328,-0.9231607047,-2.2589081302,-0.6618435099,0.7657798494,-0.1262938621,0.2375860069,-0.5478372245,0.5355511358,-0.3338415499,-0.8118989885,-0.5589371083,-0.9981464303,-1.0560848992,1.7268734248,0.2182287329,0.4521394017,-0.5371352463,0.2597712496,-0.209464127,0.5536059379,-0.0534468252,0.4666928596,1.0007483951,0.3856963591,0.2562913932,0.3335898212,0.2094304297,0.2935989993
20160305,Bolívar,5071,Alta,Alta,"75º09'42.7""W",-0.5937315941,0.6680408668,-0.4720935116,0.345499406,0.8907336501,0.8877453798,-0.4808981715,-0.5700530871,0.166345388,-0.5922172024,1.162628323,-0.6440063724,-0.9981464303,0.1772471711,0.2231502633,0.0794991667,0.0921531023,-0.5811878738,1.1235509767,0.7222922676,0.2264486287,0.4402206669,-0.3699857313,-0.9319166593,-0.1098399337,-0.1600545009,-0.3079647107,0.3205173707,0.2390729093
20160307,Bolívar,5071,Alta,Alta,"75º09'42.7""W",-0.7174344988,0.5294240776,-0.397023743,0.4047489956,0.8935986883,1.0759559532,-0.4840327782,-0.6410375134,0.1599648774,-0.6127686225,0.9341176077,-0.6477417143,-0.9981464303,0.3059847488,0.0577855148,-0.0999301051,0.0862067073,-0.5810314433,1.0616900239,0.3201197021,-0.1788709016,0.4981134571,-0.4399195831,-0.6367150992,-0.3938430886,0.075437195,0.196950875,0.4737536258,0.5365080804
20160308,Bolívar,5071,Alta,Alta,"75º09'42.7""W",-0.4257079587,0.9571034464,-0.3464013094,0.2571090657,0.8920170021,0.6415926099,-0.4728892487,-0.5656253574,0.1530902518,-0.5214987047,1.2394132537,-0.6475864346,-0.9981464303,0.1629230109,0.0739413373,0.1321289928,0.080045416,-0.5802733254,1.0801328732,0.814794189,0.4344018174,0.3356428757,-0.4644083869,-1.0797280826,-0.3479794965,-0.4250765106,-0.597475638,0.0932435518,0.0225492866
20170124,Bolívar,5071,Alta,Baja,75º8'22.3''W,-0.2556586818,-0.6124933157,-0.8935941185,0.0226720114,0.9027837649,0.4895478949,-0.6227188553,-0.8558289692,0.1672284974,-0.4976135995,1.4566252411,-0.6369394002,-0.9981464303,-0.0993668739,0.8245984918,0.3342598989,0.0923907018,-0.5827289598,1.2988676897,1.3779459124,1.5273103269,1.6715484241,1.5531467869,1.3608157393,1.5226050038,1.1654369366,0.5625048973,0.3642155729,0.2089571893
20170125,Bolívar,5071,Alta,Baja,75º8'22.3''W,-0.0538982962,-0.7789023073,-0.9713099464,0.1298750315,0.9022582537,0.5389716489,-0.8016617328,-0.8499181399,0.1598928688,-0.3239546073,1.3586025775,-0.6337365677,-0.9981464303,-0.0651709497,1.0323007592,0.3786837268,0.0855677754,-0.582280363,1.3022149885,1.3646319353,1.4855829031,1.6705528128,1.375458835,1.5983001267,1.5735896838,1.1076430661,0.3575985966,0.239382497,0.1030432729
20170126,Bolívar,5071,Alta,Baja,75º8'22.3''W,0.0231035732,-1.0638680862,-0.8705687782,-0.2498856864,0.9027964481,0.4680270996,-0.8708609405,-0.8517188837,0.1582633185,-0.3742562892,1.4746646271,-0.6291125293,-0.9981464303,0.039057131,0.90508664,0.4653930424,0.0840480595,-0.5819627185,1.2941995821,1.3656733854,1.6225050779,1.7553071347,1.4466233325,1.6440003004,1.4956722626,1.0417236857,0.3852730844,0.2415023573,0.1906819535
20170214,Bolívar,5071,Alta,Media,"75° 8' 25.9"" W",-0.6953905886,-1.9975234281,-1.3726480248,-0.7826525635,0.9062242292,1.8371806362,0.6560696323,-0.6232300858,0.1677303057,0.520760435,1.9575481913,-0.6300986969,-0.9981464303,0.0864090902,1.3491343491,1.6910342818,0.0927341644,-0.58265921,1.3368881923,1.3767849402,1.7278397053,1.7806579855,1.7108430799,1.7376462939,1.6720634668,2.1019308693,1.5986227918,1.3440109162,1.3506927321
20170215,Bolívar,5071,Alta,Media,"75° 8' 25.9"" W",-0.6466012809,-2.1104049885,-1.2125272335,-1.3257874441,0.9062312164,1.406900942,0.3540712686,-0.6795188251,0.1597457302,0.3142102568,2.0438049861,-0.6328772725,-0.9981464303,0.1407588664,1.1982016032,1.7362543105,0.0854661801,-0.5823088055,1.2655991661,1.3913444077,1.7951264016,1.9207789112,1.9773868492,1.8058226318,1.5833189356,1.7201863033,1.2929907954,1.0751913744,0.9968868716
20170203,Bolívar,302151,Baja,Alta,75º11'14.7''W,1.0577950018,-0.4927161536,-1.6423274031,1.0029429937,-0.4314028594,-0.1639607024,0.4459232257,3.15488204,-1.1330242363,-0.0610604945,-1.1859371537,-0.4831206357,-0.9981464303,-0.2251592124,0.0216785249,-0.7227021095,-1.0162900518,-0.3648415778,-0.6357891315,-1.0158174662,-0.9008444242,-0.879235903,-0.8494470792,-0.6626435836,-0.5526130263,-1.8079968302,-1.0990617482,-1.2388445338,-0.6743864278
20170204,Bolívar,302151,Baja,Alta,75º11'14.7''W,0.6236290265,-0.0972623171,-1.4104988754,0.9484971819,-0.2111172618,-0.131167208,0.5869299055,2.0618116633,-1.178580011,-0.2768654285,-1.1013230713,-0.5032671875,-0.9981464303,-0.3348087365,0.0871958876,-0.7293888387,-1.0896606433,-0.4471094907,-0.5226126131,-0.9204240626,-0.6258518957,-0.8041183763,-0.8544138783,-0.8010182579,-0.7116762559,-1.7118351752,-0.8864508768,-0.9448050668,-0.3127062922
20170205,Bolívar,302151,Baja,Alta,75º11'14.7''W,1.1610024603,-0.3302284692,-0.6263389241,0.7987673389,-0.3095399519,-0.4769173122,0.5939010222,1.9376349444,-1.1774626539,-0.1452709505,-1.2004575225,-0.5070792419,-0.9981464303,-0.4230859063,0.2028909561,-0.7154973836,-1.0686269036,-0.4334087781,-0.6370124833,-0.8862055565,-0.6005673837,-0.8666927232,-0.9384118488,-1.1477714916,-0.8327183535,-1.5955381895,-1.0807527224,-1.4206722094,-0.7131277295
20170206,Bolívar,302151,Baja,Alta,75º11'14.7''W,2.4450197102,0.2339336841,0.0934232504,1.3079871449,-0.4564333721,-0.6437054656,0.8679995382,3.3255329411,-1.1080582474,-0.246155219,-1.1933808722,-0.4740985885,-0.9981464303,-0.6480040549,0.1739664399,-0.9585621142,-1.0068642325,-0.3135488584,-0.5900295358,-1.287556619,-0.9905247137,-1.1147592927,-1.1468119737,-1.0510948194,-0.6738004601,-1.8427515629,-1.1165040017,-1.3498091684,-1.0110237269
20170212,Bolívar,302151,Baja,Alta,75º11'14.7''W,1.2052489819,-0.0382606011,-0.2506903616,0.2793481059,-0.0604327485,-0.5980338332,0.357500222,-0.1517389585,-1.1908776411,-0.1051950336,-0.7955060174,-0.5086359754,-0.9981464303,0.6033139675,-0.1401389277,-0.3709838266,-1.0947964511,-0.4330857885,-1.5438983228,-2.7545805229,-1.2467034804,-0.971300759,-0.4720698644,-0.0124761966,0.1677506937,-0.3481514864,-0.9315050477,-1.2485093104,-0.85369462
20170303,Bolívar,302151,Baja,Alta,75º11'14.7''W,1.3246906999,-0.1272473695,0.3921653383,0.6967373851,-0.1759319297,-1.2835240903,0.280728477,1.7660978115,-1.1480894147,-0.0374652855,-0.501898341,-0.4700259976,-0.9981464303,-0.4034663847,-0.4375104107,-0.7466825502,-1.0759592476,-0.4665524971,-1.2903345905,-3.4982556088,-1.6584064791,-0.4787183352,-0.4054910158,-0.2946142113,-0.0974440488,-0.5811215519,-1.3904115252,-1.8087253874,-1.0132638834
20170202,Bolívar,302298,Baja,Media,75º11'30.4''W,-0.457284745,-0.6183806669,-0.7546200589,1.2216412076,0.0098343388,0.5229980933,1.3567900917,-0.1044852936,-0.9502994998,1.8715964007,1.2251742618,-0.20931205,-0.9981464303,-1.6680804747,0.4702304108,-0.6867158373,-0.9194018093,-0.377068528,0.1980613978,1.0905319764,1.5919127415,1.4197712124,1.6852636141,1.3149352197,1.4276816653,1.688971273,1.4326025032,1.1138263395,0.8969967838
20170203,Bolívar,302298,Baja,Media,75º11'30.4''W,-0.3366792115,-0.5799816483,-0.3875243678,1.4232759714,-0.0518516505,0.0905703623,1.3503647242,0.2112144982,-0.908138041,1.8500120516,1.3051507421,-0.2084959159,-0.9981464303,-1.6601490283,-0.0050606467,-0.6917369833,-0.8876501719,-0.3316302698,-0.1815973162,0.6949742366,0.9543306002,0.9867759225,1.1133084926,1.0169845495,0.9382751374,1.2703268186,0.9590536182,0.6399093495,0.5009456198
20170204,Bolívar,302298,Baja,Media,75º11'30.4''W,0.0078804273,-0.1304184952,-0.0065639789,1.7046193351,-0.1924265338,-0.0202212967,1.5467733237,0.5441598471,-0.9035553238,1.8433508886,0.5792355354,-0.2068665397,-0.9981464303,-1.6380291946,-0.639941016,-0.9252899922,-0.8689389776,-0.4541972161,0.1271826377,0.7988987549,1.2622487579,0.5841373431,1.1362667083,0.8181118724,0.8762531357,1.1724631897,0.7751725418,0.3354968054,0.4362088152
20170205,Bolívar,302298,Baja,Media,75º11'30.4''W,-0.0856191455,-0.2702977828,-0.1758078514,0.9652280464,-0.1699654455,0.4923216175,1.3817837306,0.7222553559,-0.8901110989,1.8999884905,0.9607612215,-0.2137699611,-0.9981464303,-1.5956458861,-0.4100121147,-0.694573609,-0.8492548333,-0.4012679706,-0.113791962,0.6966996914,1.3301755954,0.5511976897,1.2596011985,1.0531155562,0.9156668887,1.1958235589,1.1070650498,0.9563434403,0.8015064904
20170212,Bolívar,302298,Baja,Baja,75º11'5.7''W,2.4319337299,-1.3079122002,0.8466728425,0.7336509189,-0.367436477,-0.0114231434,0.255061818,1.0489922322,-0.9931043298,-0.0269270091,-0.9045077597,-0.4587008836,-0.9981464303,-0.9681816235,-0.5730090937,-0.8255245854,-0.8337010026,-0.3408299832,-1.0258724027,-1.3425366327,-0.7010731418,-0.62187626,-0.9675640375,-0.2337258845,-0.9673553283,-0.2344284973,-0.3108075446,-0.2352035417,-0.0524255596
